! NUMBER OF COLLISIONAL TRANSITIONS
 990
! NUMBER OF COLLISION TEMPERATURES
  27
! THERM. RATE COEFFS UNIT - (cm^3 s^-1)

 IS_H2O  FS_H2O        5.00           10.00           15.00           20.00           30.00           40.00           50.00           60.00           80.00           100.00          120.00          140.00          150.00          160.00          170.00          180.00          200.00          220.00          250.00          280.00          300.00          400.00          500.00          800.00         1000.00         1200.00         1500.00     
     2     1   3.3753000E-11   3.4106000E-11   3.3776000E-11   3.3498000E-11   3.3277056E-11   3.3518935E-11   3.4188153E-11   3.5331601E-11   3.9724174E-11   4.7971346E-11   6.0028920E-11   7.4526018E-11   8.2151099E-11   8.9775952E-11   9.7256335E-11   1.0448523E-10   1.1793057E-10   1.2983530E-10   1.4483336E-10   1.5684034E-10   1.6348376E-10   1.8574762E-10   1.9781428E-10   2.1335000E-10   2.1840736E-10   2.2182734E-10   2.2596047E-10
     3     1   3.2700000E-11   3.2878000E-11   3.3486000E-11   3.3870000E-11   3.4182023E-11   3.4339598E-11   3.4586559E-11   3.5034203E-11   3.6936757E-11   4.0728283E-11   4.6477772E-11   5.3613954E-11   5.7454632E-11   6.1353535E-11   6.5237396E-11   6.9047215E-11   7.6294961E-11   8.2906543E-11   9.1544802E-11   9.8773618E-11   1.0291591E-10   1.1786297E-10   1.2699058E-10   1.4062624E-10   1.4565726E-10   1.4907272E-10   1.5304785E-10
     3     2   1.1947000E-11   1.3731000E-11   1.5211000E-11   1.5978000E-11   1.6230015E-11   1.5784998E-11   1.5176515E-11   1.4609916E-11   1.3997369E-11   1.4411751E-11   1.5844766E-11   1.7971994E-11   1.9171558E-11   2.0404988E-11   2.1637113E-11   2.2844620E-11   2.5117339E-11   2.7149454E-11   2.9722154E-11   3.1784861E-11   3.2924415E-11   3.6722175E-11   3.8731899E-11   4.1073289E-11   4.1857036E-11   4.2283625E-11   4.2774890E-11
     4     1   2.5433000E-12   2.8663000E-12   3.0976000E-12   3.2523001E-12   3.4673435E-12   3.6398304E-12   3.8072359E-12   3.9942953E-12   4.5461725E-12   5.5095431E-12   6.9517420E-12   8.7763088E-12   9.7802141E-12   1.0817007E-11   1.1869158E-11   1.2921894E-11   1.4987303E-11   1.6955644E-11   1.9677972E-11   2.2119025E-11   2.3603053E-11   2.9669638E-11   3.4163242E-11   4.2755000E-11   4.6630441E-11   4.9499360E-11   5.2871666E-11
     4     2   3.1144000E-11   3.2356000E-11   3.2947000E-11   3.3086000E-11   3.3021027E-11   3.3000995E-11   3.3146313E-11   3.3470533E-11   3.4739632E-11   3.7038312E-11   4.0449876E-11   4.4774489E-11   4.7170016E-11   4.9659291E-11   5.2200367E-11   5.4758741E-11   5.9817711E-11   6.4681290E-11   7.1449049E-11   7.7529803E-11   8.1213385E-11   9.6007225E-11   1.0646146E-10   1.2466905E-10   1.3184249E-10   1.3678797E-10   1.4224116E-10
     4     3   2.1545000E-11   2.0285000E-11   1.9428000E-11   1.8828000E-11   1.8111019E-11   1.7779338E-11   1.7705095E-11   1.7864197E-11   1.9051927E-11   2.1733959E-11   2.5894196E-11   3.1052722E-11   3.3812160E-11   3.6599598E-11   3.9355951E-11   4.2045558E-11   4.7109956E-11   5.1665105E-11   5.7520236E-11   6.2314423E-11   6.5014933E-11   7.4417710E-11   7.9826350E-11   8.7292973E-11   8.9954430E-11   9.1708357E-11   9.3770363E-11
     5     1   6.7856000E-12   7.0142000E-12   7.2021000E-12   7.3510003E-12   7.5667915E-12   7.6906360E-12   7.7641074E-12   7.8362501E-12   8.1675877E-12   8.9868625E-12   1.0383606E-11   1.2243742E-11   1.3285278E-11   1.4367461E-11   1.5468348E-11   1.6570305E-11   1.8724313E-11   2.0757883E-11   2.3519358E-11   2.5924998E-11   2.7345520E-11   3.2723696E-11   3.6154346E-11   4.1185443E-11   4.3117524E-11   4.4336678E-11   4.5779122E-11
     5     2   7.0976000E-12   6.6207000E-12   6.2973000E-12   6.0628000E-12   5.7733117E-12   5.6386583E-12   5.6015016E-12   5.6375045E-12   5.9218586E-12   6.5120570E-12   7.3727813E-12   8.3986866E-12   8.9364779E-12   9.4744185E-12   1.0003451E-11   1.0516880E-11   1.1481494E-11   1.2352306E-11   1.3487340E-11   1.4444575E-11   1.5001695E-11   1.7126626E-11   1.8586749E-11   2.1249973E-11   2.2775289E-11   2.3917523E-11   2.5490641E-11
     5     3   4.0217000E-11   3.7889000E-11   3.6081000E-11   3.4642000E-11   3.2655017E-11   3.1524208E-11   3.0967776E-11   3.0848804E-11   3.1846040E-11   3.4647169E-11   3.9165277E-11   4.4883850E-11   4.7985271E-11   5.1142733E-11   5.4295727E-11   5.7398145E-11   6.3311257E-11   6.8720015E-11   7.5815900E-11   8.1763602E-11   8.5182563E-11   9.7578076E-11   1.0519882E-10   1.1672071E-10   1.2102859E-10   1.2395337E-10   1.2731183E-10
