j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	1     	0      	1      	3         	1         	3.772167861E-04 	3.257727481E-02 	2.37990000E+01  	7.30236000E+02  	2.37990000E+01  	1.21706000E+02  
1     	0      	1      	1     	1      	0      	3         	1         	5.731916037E-04 	3.150133185E-02 	2.37990000E+01  	7.30236000E+02  	4.24020000E+01  	1.21706000E+02  
1     	0      	1      	2     	1      	2      	3         	1         	1.117862131E-03 	3.119018301E-02 	2.37990000E+01  	7.30236000E+02  	7.95130000E+01  	1.21706000E+02  
1     	0      	1      	2     	2      	1      	3         	1         	8.235666593E-04 	1.120070367E-02 	2.37990000E+01  	7.30236000E+02  	1.35322000E+02  	1.21706000E+02  
1     	0      	1      	3     	0      	3      	3         	1         	3.344201780E-03 	4.472200936E-02 	2.37990000E+01  	7.30236000E+02  	1.36890000E+02  	1.21706000E+02  
1     	0      	1      	3     	1      	2      	3         	1         	2.188527332E-03 	2.043140852E-02 	2.37990000E+01  	7.30236000E+02  	1.73598000E+02  	1.21706000E+02  
1     	0      	1      	3     	2      	1      	3         	1         	3.531565396E-03 	2.388454545E-02 	2.37990000E+01  	7.30236000E+02  	2.12628000E+02  	1.21706000E+02  
1     	0      	1      	4     	1      	4      	3         	1         	4.114755156E-03 	2.537821874E-02 	2.37990000E+01  	7.30236000E+02  	2.24994000E+02  	1.21706000E+02  
1     	0      	1      	3     	3      	0      	3         	1         	5.368008981E-03 	2.196301157E-02 	2.37990000E+01  	7.30236000E+02  	2.87537000E+02  	1.21706000E+02  
1     	0      	1      	4     	2      	3      	3         	1         	3.735126725E-03 	1.413767027E-02 	2.37990000E+01  	7.30236000E+02  	3.00920000E+02  	1.21706000E+02  
1     	0      	1      	5     	0      	5      	3         	1         	7.622839590E-03 	2.515649213E-02 	2.37990000E+01  	7.30236000E+02  	3.25789000E+02  	1.21706000E+02  
1     	0      	1      	4     	3      	2      	3         	1         	9.823715363E-03 	2.423362232E-02 	2.37990000E+01  	7.30236000E+02  	3.84585000E+02  	1.21706000E+02  
1     	0      	1      	5     	1      	4      	3         	1         	3.621375254E-03 	8.306447875E-03 	2.37990000E+01  	7.30236000E+02  	4.00670000E+02  	1.21706000E+02  
1     	0      	1      	6     	1      	6      	3         	1         	6.183930120E-03 	1.161903853E-02 	2.37990000E+01  	7.30236000E+02  	4.47897000E+02  	1.21706000E+02  
1     	0      	1      	5     	2      	3      	3         	1         	2.550234060E-02 	4.787751520E-02 	2.37990000E+01  	7.30236000E+02  	4.48098000E+02  	1.21706000E+02  
1     	0      	1      	4     	4      	1      	3         	1         	1.035880140E-02 	1.626052543E-02 	2.37990000E+01  	7.30236000E+02  	4.94688000E+02  	1.21706000E+02  
1     	0      	1      	5     	3      	2      	3         	1         	1.488210559E-02 	2.200288342E-02 	2.37990000E+01  	7.30236000E+02  	5.11234000E+02  	1.21706000E+02  
1     	0      	1      	6     	2      	5      	3         	1         	4.706820862E-03 	5.998999041E-03 	2.37990000E+01  	7.30236000E+02  	5.54439000E+02  	1.21706000E+02  
1     	0      	1      	7     	0      	7      	3         	1         	4.234208579E-03 	4.853056638E-03 	2.37990000E+01  	7.30236000E+02  	5.87370000E+02  	1.21706000E+02  
1     	0      	1      	5     	4      	1      	3         	1         	1.242804697E-02 	1.301769521E-02 	2.37990000E+01  	7.30236000E+02  	6.16707000E+02  	1.21706000E+02  
1     	0      	1      	1     	0      	1      	3         	3         	0.000000000E+00 	0.000000000E+00 	2.37990000E+01  	7.30236000E+02  	2.37990000E+01  	7.30236000E+02  
1     	0      	1      	1     	1      	0      	3         	3         	1.603177114E+01 	1.519162852E+01 	2.37990000E+01  	7.30236000E+02  	4.24020000E+01  	7.30236000E+02  
1     	0      	1      	6     	3      	4      	3         	1         	1.374261824E-02 	1.298389953E-02 	2.37990000E+01  	7.30236000E+02  	6.51971000E+02  	1.21706000E+02  
1     	0      	1      	2     	1      	2      	3         	3         	1.468714838E+01 	1.255226430E+01 	2.37990000E+01  	7.30236000E+02  	7.95130000E+01  	7.30236000E+02  
1     	0      	1      	7     	1      	6      	3         	1         	9.172778575E-04 	7.448349680E-04 	2.37990000E+01  	7.30236000E+02  	7.07162000E+02  	1.21706000E+02  
1     	0      	1      	2     	2      	1      	3         	3         	2.968301977E+00 	2.192517993E+00 	2.37990000E+01  	7.30236000E+02  	1.35322000E+02  	7.30236000E+02  
1     	0      	1      	3     	0      	3      	3         	3         	4.493636077E+00 	3.306118279E+00 	2.37990000E+01  	7.30236000E+02  	1.36890000E+02  	7.30236000E+02  
1     	0      	1      	8     	1      	8      	3         	1         	2.764733936E-03 	2.031897384E-03 	2.37990000E+01  	7.30236000E+02  	7.45852000E+02  	1.21706000E+02  
1     	0      	1      	5     	5      	0      	3         	1         	2.563786467E-03 	1.829157734E-03 	2.37990000E+01  	7.30236000E+02  	7.57735000E+02  	1.21706000E+02  
1     	0      	1      	6     	4      	3      	3         	1         	3.842906190E-03 	2.704162746E-03 	2.37990000E+01  	7.30236000E+02  	7.63327000E+02  	1.21706000E+02  
1     	0      	1      	3     	1      	2      	3         	3         	9.066928315E-01 	6.094993680E-01 	2.37990000E+01  	7.30236000E+02  	1.73598000E+02  	7.30236000E+02  
1     	0      	1      	7     	2      	5      	3         	1         	1.818979428E-03 	1.207442485E-03 	2.37990000E+01  	7.30236000E+02  	7.87387000E+02  	1.21706000E+02  
1     	0      	1      	3     	2      	1      	3         	3         	1.122359304E+00 	6.883553390E-01 	2.37990000E+01  	7.30236000E+02  	2.12628000E+02  	7.30236000E+02  
1     	0      	1      	4     	1      	4      	3         	3         	1.271396906E+00 	7.580774534E-01 	2.37990000E+01  	7.30236000E+02  	2.24994000E+02  	7.30236000E+02  
1     	0      	1      	7     	3      	4      	3         	1         	1.188670577E-03 	6.860894206E-04 	2.37990000E+01  	7.30236000E+02  	8.47989000E+02  	1.21706000E+02  
1     	0      	1      	8     	2      	7      	3         	1         	3.902237438E-04 	2.058761110E-04 	2.37990000E+01  	7.30236000E+02  	8.89239000E+02  	1.21706000E+02  
1     	0      	1      	3     	3      	0      	3         	3         	2.545914678E-01 	1.323856374E-01 	2.37990000E+01  	7.30236000E+02  	2.87537000E+02  	7.30236000E+02  
1     	0      	1      	6     	5      	2      	3         	1         	1.818325262E-03 	9.303030292E-04 	2.37990000E+01  	7.30236000E+02  	9.03768000E+02  	1.21706000E+02  
1     	0      	1      	4     	2      	3      	3         	3         	1.716410278E-01 	8.677876108E-02 	2.37990000E+01  	7.30236000E+02  	3.00920000E+02  	7.30236000E+02  
1     	0      	1      	9     	0      	9      	3         	1         	5.917813090E-04 	2.910934245E-04 	2.37990000E+01  	7.30236000E+02  	9.22702000E+02  	1.21706000E+02  
1     	0      	1      	5     	0      	5      	3         	3         	4.146813371E-01 	1.991909443E-01 	2.37990000E+01  	7.30236000E+02  	3.25789000E+02  	7.30236000E+02  
1     	0      	1      	7     	4      	3      	3         	1         	3.635297526E-03 	1.729900062E-03 	2.37990000E+01  	7.30236000E+02  	9.38944000E+02  	1.21706000E+02  
1     	0      	1      	4     	3      	2      	3         	3         	1.031798237E-01 	4.413032165E-02 	2.37990000E+01  	7.30236000E+02  	3.84585000E+02  	7.30236000E+02  
1     	0      	1      	5     	1      	4      	3         	3         	3.241907907E-02 	1.344762505E-02 	2.37990000E+01  	7.30236000E+02  	4.00670000E+02  	7.30236000E+02  
1     	0      	1      	8     	3      	6      	3         	1         	5.616727822E-04 	2.316403769E-04 	2.37990000E+01  	7.30236000E+02  	1.01226900E+03  	1.21706000E+02  
1     	0      	1      	6     	1      	6      	3         	3         	5.742386885E-02 	2.182895004E-02 	2.37990000E+01  	7.30236000E+02  	4.47897000E+02  	7.30236000E+02  
1     	0      	1      	5     	2      	3      	3         	3         	2.853252163E-02 	1.084233278E-02 	2.37990000E+01  	7.30236000E+02  	4.48098000E+02  	7.30236000E+02  
1     	0      	1      	7     	5      	2      	3         	1         	5.862395514E-04 	2.155092065E-04 	2.37990000E+01  	7.30236000E+02  	1.07511100E+03  	1.21706000E+02  
1     	0      	1      	6     	6      	1      	3         	1         	1.569905867E-04 	5.756627671E-05 	2.37990000E+01  	7.30236000E+02  	1.07653100E+03  	1.21706000E+02  
1     	0      	1      	9     	1      	8      	3         	1         	6.500877713E-05 	2.350186044E-05 	2.37990000E+01  	7.30236000E+02  	1.08455100E+03  	1.21706000E+02  
1     	0      	1      	4     	4      	1      	3         	3         	1.059866459E-02 	3.708526503E-03 	2.37990000E+01  	7.30236000E+02  	4.94688000E+02  	7.30236000E+02  
1     	0      	1      	10    	1      	10     	3         	1         	9.155490320E-05 	3.122049779E-05 	2.37990000E+01  	7.30236000E+02  	1.11816800E+03  	1.21706000E+02  
1     	0      	1      	5     	3      	2      	3         	3         	1.596300262E-02 	5.428588260E-03 	2.37990000E+01  	7.30236000E+02  	5.11234000E+02  	7.30236000E+02  
1     	0      	1      	8     	4      	5      	3         	1         	2.031061532E-04 	6.763513496E-05 	2.37990000E+01  	7.30236000E+02  	1.13211100E+03  	1.21706000E+02  
1     	0      	1      	6     	2      	5      	3         	3         	4.012750715E-03 	1.269112534E-03 	2.37990000E+01  	7.30236000E+02  	5.54439000E+02  	7.30236000E+02  
