#N =          J1         KA         KC         J2          E
  202         10         10          0          1   3031.053
  203         15          3         13          1   3032.773
  204          9          3          7          5   3050.541
  205         14          4         10          1   3068.187
  206          7          6          2          5   3072.357
  207         12          5          7          3   3072.527
  208         10          8          2          3   3073.909
  209         14          1         13          3   3077.496
  210          9          9          1          3   3097.736
  211          8          5          3          5   3097.836
  212         16          1         15          1   3103.585
  213         15          1         15          3   3103.935
  214         11          7          5          3   3110.136
  215         13          7          7          1   3119.810
  216         10          1          9          5   3125.849
  217         17          1         17          1   3127.498
  218         11          1         11          5   3157.756
  219          9          4          6          5   3178.869
  220         14          5          9          1   3178.974
  221         13          4         10          3   3192.919
  222         12          6          6          3   3214.101
  223         15          4         12          1   3260.923
  224          8          6          2          5   3267.685
  225          7          7          1          5   3276.682
  226         10          2          8          5   3277.019
  227         12          9          3          1   3292.749
  228         14          6          8          1   3296.993
  229         11         10          2          1   3298.142
  230         14          2         12          3   3313.025
  231          9          5          5          5   3319.175
  232         10          9          1          3   3340.605
  233         11          8          4          3   3342.682
  234         13          8          6          1   3348.195
  235         11          2         10          5   3360.055
  236         13          5          9          3   3362.522
  237         16          2         14          1   3379.275
  238         10          3          7          5   3383.135
  239         15          2         14          3   3385.538
  240         12          0         12          5   3390.306
  241         12          7          5          3   3406.529
  242          0          0          0          7   3407.768
  243         16          0         16          3   3410.704
  244          1          1          1          7   3444.926
  245         17          2         16          1   3448.712
  246         15          5         11          1   3462.219
  247         10          4          6          5   3463.073
  248          8          7          1          5   3471.123
  249         14          7          7          1   3471.156
  250         18          0         18          1   3471.377
  251          2          0          2          7   3477.901
  252          9          6          4          5   3488.309
  253          2          1          1          7   3503.013
  254         14          3         11          3   3517.658
  255         13          6          8          3   3533.538
  256         11          3          9          5   3536.460
  257          2          2          0          7   3544.356
  258          3          1          3          7   3550.099
  259         10          5          5          5   3573.641
  260         12         10          2          1   3590.120
  261         11          9          3          3   3608.390
  262         13          9          5          1   3610.944
  263         12          1         11          5   3612.369
  264          3          2          2          7   3614.488
  265         16          3         13          1   3626.721
  266         11         11          1          1   3628.661
  267          4          0          4          7   3630.078
  268         12          8          4          3   3636.880
  269         10         10          0          3   3639.583
  270         15          3         13          3   3641.303
  271         13          1         13          5   3641.414
  272         15          6         10          1   3648.333
  273         14          4         10          3   3676.717
  274          4          1          3          7   3683.867
  275          9          7          3          5   3690.564
  276         11          4          8          5   3690.683
  277         14          8          6          1   3694.231
  278          3          3          1          7   3695.108
  279          8          8          0          5   3707.005
  280         16          1         15          3   3712.115
  281          4          2          2          7   3724.347
  282         13          7          7          3   3728.340
  283          5          1          5          7   3734.739
  284         10          6          4          5   3735.124
  285         17          1         17          3   3736.028
  286         17          3         15          1   3744.391
  287         14          5          9          3   3787.504
  288          4          3          1          7   3793.688
  289         12          2         10          5   3806.957
  290         18          1         17          1   3812.386
  291          5          2          4          7   3824.887
  292         19          1         19          1   3833.811
  293         16          4         12          1   3838.346
  294         11          5          7          5   3839.620
  295         15          7          9          1   3842.982
  296          6          0          6          7   3855.181
  297         15          4         12          3   3869.453
  298         13          2         12          5   3883.373
  299         12          9          3          3   3901.279
  300          4          4          0          7   3902.481
  301         14          6          8          3   3905.523
  302         11         10          2          3   3906.672
  303         13         10          4          1   3907.148
  304         14          0         14          5   3911.074
  305          5          3          3          7   3914.042
  306         12         11          1          1   3919.973
  307          9          8          2          5   3925.657
  308         10          7          3          5   3935.282
  309          6          1          5          7   3952.684
  310         14          9          5          1   3954.690
  311         13          8          6          3   3956.725
  312         12          3          9          5   3964.127
  313         16          2         14          3   3987.805
  314          7          1          7          7   3995.327
  315         16          5         11          1   3996.012
  316         11          6          6          5   4006.774
  317         17          4         14          1   4012.798
  318          6          2          4          7   4013.510
  319          5          4          2          7   4024.251
  320         17          2         16          3   4057.242
  321         15          8          8          1   4066.088
  322         15          5         11          3   4070.749
  323         12          4          8          5   4071.818
  324          6          3          3          7   4072.813
  325         14          7          7          3   4079.686
  326         18          0         18          3   4079.907
