j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	1     	1      	1      	1         	1         	2.918699700E+01 	1.360889844E+01 	0.00000000E+00  	1.21706000E+02  	3.71580000E+01  	1.21706000E+02  
0     	0      	0      	2     	0      	2      	1         	1         	9.463037956E+00 	2.686945997E+00 	0.00000000E+00  	1.21706000E+02  	7.01330000E+01  	1.21706000E+02  
1     	1      	1      	0     	0      	0      	1         	1         	9.706846393E+00 	3.384741535E+01 	3.71580000E+01  	1.21706000E+02  	0.00000000E+00  	1.21706000E+02  
1     	1      	1      	2     	0      	2      	1         	1         	3.254441716E+01 	1.631906715E+01 	3.71580000E+01  	1.21706000E+02  	7.01330000E+01  	1.21706000E+02  
1     	1      	1      	2     	1      	1      	1         	1         	1.361793304E+01 	4.570724921E+00 	3.71580000E+01  	1.21706000E+02  	9.52450000E+01  	1.21706000E+02  
2     	0      	2      	0     	0      	0      	1         	1         	1.883655535E+00 	1.238228782E+02 	7.01330000E+01  	1.21706000E+02  	0.00000000E+00  	1.21706000E+02  
2     	0      	2      	1     	1      	1      	1         	1         	1.946123068E+01 	5.632278230E+01 	7.01330000E+01  	1.21706000E+02  	3.71580000E+01  	1.21706000E+02  
2     	0      	2      	2     	1      	1      	1         	1         	2.399233034E+01 	1.389771277E+01 	7.01330000E+01  	1.21706000E+02  	9.52450000E+01  	1.21706000E+02  
2     	0      	2      	2     	2      	0      	1         	1         	3.625836887E+00 	1.081886527E+00 	7.01330000E+01  	1.21706000E+02  	1.36588000E+02  	1.21706000E+02  
2     	0      	2      	3     	1      	3      	1         	1         	9.673730955E+00 	2.672735873E+00 	7.01330000E+01  	1.21706000E+02  	1.42331000E+02  	1.21706000E+02  
2     	1      	1      	1     	1      	1      	1         	1         	8.218976898E+00 	1.095461917E+02 	9.52450000E+01  	1.21706000E+02  	3.71580000E+01  	1.21706000E+02  
2     	1      	1      	2     	0      	2      	1         	1         	2.387088005E+01 	5.071099538E+01 	9.52450000E+01  	1.21706000E+02  	7.01330000E+01  	1.21706000E+02  
2     	1      	1      	2     	2      	0      	1         	1         	2.041022120E+01 	8.871649360E+00 	9.52450000E+01  	1.21706000E+02  	1.36588000E+02  	1.21706000E+02  
2     	1      	1      	3     	1      	3      	1         	1         	1.283342731E+01 	5.085467144E+00 	9.52450000E+01  	1.21706000E+02  	1.42331000E+02  	1.21706000E+02  
2     	2      	0      	2     	0      	2      	1         	1         	3.602316206E+00 	1.256561296E+02 	1.36588000E+02  	1.21706000E+02  	7.01330000E+01  	1.21706000E+02  
2     	2      	0      	2     	1      	1      	1         	1         	2.027173374E+01 	8.681509941E+01 	1.36588000E+02  	1.21706000E+02  	9.52450000E+01  	1.21706000E+02  
2     	2      	0      	3     	1      	3      	1         	1         	8.888835705E+00 	7.737919597E+00 	1.36588000E+02  	1.21706000E+02  	1.42331000E+02  	1.21706000E+02  
2     	2      	0      	3     	2      	2      	1         	1         	7.434921539E+00 	2.111080264E+00 	1.36588000E+02  	1.21706000E+02  	2.06720000E+02  	1.21706000E+02  
3     	1      	3      	2     	0      	2      	1         	1         	6.654180864E+00 	6.996226371E+02 	1.42331000E+02  	1.21706000E+02  	7.01330000E+01  	1.21706000E+02  
3     	1      	3      	2     	1      	1      	1         	1         	8.693169510E+00 	5.135500313E+01 	1.42331000E+02  	1.21706000E+02  	9.52450000E+01  	1.21706000E+02  
3     	1      	3      	2     	2      	0      	1         	1         	5.991539127E+00 	6.954203220E+00 	1.42331000E+02  	1.21706000E+02  	1.36588000E+02  	1.21706000E+02  
3     	1      	3      	3     	2      	2      	1         	1         	7.721376127E+00 	2.370299063E+00 	1.42331000E+02  	1.21706000E+02  	2.06720000E+02  	1.21706000E+02  
3     	1      	3      	4     	0      	4      	1         	1         	7.480178867E+00 	1.870531663E+00 	1.42331000E+02  	1.21706000E+02  	2.22310000E+02  	1.21706000E+02  
3     	2      	2      	2     	2      	0      	1         	1         	4.803638027E+00 	3.157691390E+02 	2.06720000E+02  	1.21706000E+02  	1.36588000E+02  	1.21706000E+02  
3     	2      	2      	3     	1      	3      	1         	1         	7.797193978E+00 	2.047800246E+02 	2.06720000E+02  	1.21706000E+02  	1.42331000E+02  	1.21706000E+02  
3     	2      	2      	4     	0      	4      	1         	1         	6.262267215E+00 	4.386216741E+00 	2.06720000E+02  	1.21706000E+02  	2.22310000E+02  	1.21706000E+02  
3     	2      	2      	4     	1      	3      	1         	1         	3.528589334E+00 	1.012053481E+00 	2.06720000E+02  	1.21706000E+02  	2.76099000E+02  	1.21706000E+02  
4     	0      	4      	3     	1      	3      	1         	1         	4.303167537E+00 	8.606335074E+07 	2.22310000E+02  	1.21706000E+02  	1.42331000E+02  	1.21706000E+02  
4     	0      	4      	3     	2      	2      	1         	1         	5.074895554E+00 	7.828803082E+00 	2.22310000E+02  	1.21706000E+02  	2.06720000E+02  	1.21706000E+02  
4     	0      	4      	4     	1      	3      	1         	1         	1.463178274E+01 	5.231612594E+00 	2.22310000E+02  	1.21706000E+02  	2.76099000E+02  	1.21706000E+02  
4     	0      	4      	3     	3      	1      	1         	1         	4.705239246E-01 	1.431689350E-01 	2.22310000E+02  	1.21706000E+02  	2.87340000E+02  	1.21706000E+02  
4     	1      	3      	3     	2      	2      	1         	1         	2.391022616E+00 	1.356477739E+02 	2.76099000E+02  	1.21706000E+02  	2.06720000E+02  	1.21706000E+02  
4     	1      	3      	4     	0      	4      	1         	1         	1.263135897E+01 	1.176703495E+02 	2.76099000E+02  	1.21706000E+02  	2.22310000E+02  	1.21706000E+02  
4     	1      	3      	3     	3      	1      	1         	1         	2.384018479E+00 	1.832800446E+00 	2.76099000E+02  	1.21706000E+02  	2.87340000E+02  	1.21706000E+02  
4     	1      	3      	4     	2      	2      	1         	1         	2.066689348E+01 	9.112272188E+00 	2.76099000E+02  	1.21706000E+02  	3.16579000E+02  	1.21706000E+02  
4     	1      	3      	5     	1      	5      	1         	1         	4.582380949E+00 	1.712290456E+00 	2.76099000E+02  	1.21706000E+02  	3.26971000E+02  	1.21706000E+02  
3     	3      	1      	4     	0      	4      	1         	1         	5.496480331E-01 	1.569617962E+01 	2.87340000E+02  	1.21706000E+02  	2.22310000E+02  	1.21706000E+02  
3     	3      	1      	4     	1      	3      	1         	1         	3.524757511E+00 	4.771364525E+00 	2.87340000E+02  	1.21706000E+02  	2.76099000E+02  	1.21706000E+02  
3     	3      	1      	4     	2      	2      	1         	1         	6.710999897E+00 	3.599221792E+00 	2.87340000E+02  	1.21706000E+02  	3.16579000E+02  	1.21706000E+02  
3     	3      	1      	5     	1      	5      	1         	1         	4.353310435E-01 	1.946738186E-01 	2.87340000E+02  	1.21706000E+02  	3.26971000E+02  	1.21706000E+02  
4     	2      	2      	4     	1      	3      	1         	1         	2.075080827E+01 	8.503089686E+01 	3.16579000E+02  	1.21706000E+02  	2.76099000E+02  	1.21706000E+02  
4     	2      	2      	3     	3      	1      	1         	1         	5.015335109E+00 	1.245737109E+01 	3.16579000E+02  	1.21706000E+02  	2.87340000E+02  	1.21706000E+02  
4     	2      	2      	5     	1      	5      	1         	1         	2.435624395E+00 	1.907778891E+00 	3.16579000E+02  	1.21706000E+02  	3.26971000E+02  	1.21706000E+02  
4     	2      	2      	4     	3      	1      	1         	1         	8.296874020E+00 	2.380885962E+00 	3.16579000E+02  	1.21706000E+02  	3.85920000E+02  	1.21706000E+02  
5     	1      	5      	4     	1      	3      	1         	1         	3.126535995E+00 	2.358431433E+01 	3.26971000E+02  	1.21706000E+02  	2.76099000E+02  	1.21706000E+02  
5     	1      	5      	3     	3      	1      	1         	1         	2.392343291E-01 	9.395525870E-01 	3.26971000E+02  	1.21706000E+02  	2.87340000E+02  	1.21706000E+02  
5     	1      	5      	4     	2      	2      	1         	1         	1.773602076E+00 	2.342722143E+00 	3.26971000E+02  	1.21706000E+02  	3.16579000E+02  	1.21706000E+02  
5     	1      	5      	4     	3      	1      	1         	1         	5.835305516E-01 	1.934356841E-01 	3.26971000E+02  	1.21706000E+02  	3.85920000E+02  	1.21706000E+02  
4     	3      	1      	4     	2      	2      	1         	1         	6.957936851E+00 	3.919191625E+02 	3.85920000E+02  	1.21706000E+02  	3.16579000E+02  	1.21706000E+02  
4     	3      	1      	5     	1      	5      	1         	1         	6.651825423E-01 	9.606162176E+00 	3.85920000E+02  	1.21706000E+02  	3.26971000E+02  	1.21706000E+02  
4     	3      	1      	5     	2      	4      	1         	1         	4.133291839E+00 	2.139294876E+00 	3.85920000E+02  	1.21706000E+02  	4.17119000E+02  	1.21706000E+02  
4     	3      	1      	6     	0      	6      	1         	1         	1.932712164E-01 	6.178412829E-02 	3.85920000E+02  	1.21706000E+02  	4.47413000E+02  	1.21706000E+02  
5     	2      	4      	4     	3      	1      	1         	1         	4.446699768E+00 	1.195001982E+01 	4.17119000E+02  	1.21706000E+02  	3.85920000E+02  	1.21706000E+02  
