j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	11    	9      	2      	8         	4         	1.637214638E-10 	1.616135570E-10 	2.37990000E+01  	4.38141600E+03  	2.87815500E+03  	1.21706000E+03  
1     	1      	0      	11    	9      	2      	8         	4         	6.572571509E-10 	6.482889261E-10 	4.24020000E+01  	4.38141600E+03  	2.87815500E+03  	1.21706000E+03  
1     	0      	1      	12    	8      	5      	8         	4         	4.158480630E-10 	4.109843663E-10 	2.37990000E+01  	4.38141600E+03  	2.90662900E+03  	1.21706000E+03  
1     	1      	0      	12    	8      	5      	8         	4         	1.188166190E-09 	1.173354179E-09 	4.24020000E+01  	4.38141600E+03  	2.90662900E+03  	1.21706000E+03  
1     	0      	1      	10    	10     	1      	8         	4         	2.528881703E-11 	2.499589005E-11 	2.37990000E+01  	4.38141600E+03  	2.90934700E+03  	1.21706000E+03  
1     	1      	0      	10    	10     	1      	8         	4         	5.536278305E-11 	5.467884597E-11 	4.24020000E+01  	4.38141600E+03  	2.90934700E+03  	1.21706000E+03  
2     	1      	2      	10    	10     	1      	8         	4         	3.907121698E-11 	3.852852376E-11 	7.95130000E+01  	4.38141600E+03  	2.90934700E+03  	1.21706000E+03  
1     	0      	1      	15    	2      	13     	8         	4         	1.141043211E-11 	1.127902311E-11 	2.37990000E+01  	4.38141600E+03  	2.91095700E+03  	1.21706000E+03  
1     	1      	0      	15    	2      	13     	8         	4         	1.147349707E-11 	1.133252147E-11 	4.24020000E+01  	4.38141600E+03  	2.91095700E+03  	1.21706000E+03  
2     	1      	2      	15    	2      	13     	8         	4         	5.251423986E-11 	5.178832346E-11 	7.95130000E+01  	4.38141600E+03  	2.91095700E+03  	1.21706000E+03  
1     	0      	1      	14    	5      	10     	8         	4         	6.722304892E-11 	6.662930178E-11 	2.37990000E+01  	4.38141600E+03  	2.97570500E+03  	1.21706000E+03  
1     	1      	0      	14    	5      	10     	8         	4         	4.938391709E-11 	4.890963210E-11 	4.24020000E+01  	4.38141600E+03  	2.97570500E+03  	1.21706000E+03  
2     	1      	2      	14    	5      	10     	8         	4         	1.070012616E-10 	1.058090227E-10 	7.95130000E+01  	4.38141600E+03  	2.97570500E+03  	1.21706000E+03  
2     	2      	1      	14    	5      	10     	8         	4         	7.397939763E-11 	7.298412912E-11 	1.35322000E+02  	4.38141600E+03  	2.97570500E+03  	1.21706000E+03  
3     	0      	3      	14    	5      	10     	8         	4         	4.979959532E-10 	4.912639386E-10 	1.36890000E+02  	4.38141600E+03  	2.97570500E+03  	1.21706000E+03  
1     	0      	1      	16    	2      	15     	8         	4         	4.989593160E-12 	4.946800792E-12 	2.37990000E+01  	4.38141600E+03  	2.98188000E+03  	1.21706000E+03  
1     	1      	0      	16    	2      	15     	8         	4         	6.025769056E-12 	5.969440361E-12 	4.24020000E+01  	4.38141600E+03  	2.98188000E+03  	1.21706000E+03  
2     	1      	2      	16    	2      	15     	8         	4         	2.476722336E-11 	2.449759703E-11 	7.95130000E+01  	4.38141600E+03  	2.98188000E+03  	1.21706000E+03  
2     	2      	1      	16    	2      	15     	8         	4         	1.650315523E-11 	1.628535074E-11 	1.35322000E+02  	4.38141600E+03  	2.98188000E+03  	1.21706000E+03  
3     	0      	3      	16    	2      	15     	8         	4         	6.195370304E-11 	6.113203287E-11 	1.36890000E+02  	4.38141600E+03  	2.98188000E+03  	1.21706000E+03  
1     	0      	1      	13    	7      	6      	8         	4         	2.407435341E-10 	2.388514811E-10 	2.37990000E+01  	4.38141600E+03  	2.99916200E+03  	1.21706000E+03  
1     	1      	0      	13    	7      	6      	8         	4         	7.995046002E-10 	7.926039734E-10 	4.24020000E+01  	4.38141600E+03  	2.99916200E+03  	1.21706000E+03  
2     	1      	2      	13    	7      	6      	8         	4         	3.021980227E-10 	2.991246280E-10 	7.95130000E+01  	4.38141600E+03  	2.99916200E+03  	1.21706000E+03  
2     	2      	1      	13    	7      	6      	8         	4         	5.858432304E-10 	5.785305577E-10 	1.35322000E+02  	4.38141600E+03  	2.99916200E+03  	1.21706000E+03  
3     	0      	3      	13    	7      	6      	8         	4         	2.640462144E-09 	2.607331668E-09 	1.36890000E+02  	4.38141600E+03  	2.99916200E+03  	1.21706000E+03  
1     	0      	1      	17    	0      	17     	8         	4         	1.546059046E-11 	1.534333697E-11 	2.37990000E+01  	4.38141600E+03  	3.00579200E+03  	1.21706000E+03  
1     	1      	0      	17    	0      	17     	8         	4         	1.404176283E-11 	1.392442910E-11 	4.24020000E+01  	4.38141600E+03  	3.00579200E+03  	1.21706000E+03  
2     	1      	2      	17    	0      	17     	8         	4         	7.625552528E-11 	7.550095596E-11 	7.95130000E+01  	4.38141600E+03  	3.00579200E+03  	1.21706000E+03  
2     	2      	1      	17    	0      	17     	8         	4         	1.170615630E-11 	1.156325031E-11 	1.35322000E+02  	4.38141600E+03  	3.00579200E+03  	1.21706000E+03  
3     	0      	3      	17    	0      	17     	8         	4         	3.525725394E-10 	3.482455239E-10 	1.36890000E+02  	4.38141600E+03  	3.00579200E+03  	1.21706000E+03  
3     	1      	2      	17    	0      	17     	8         	4         	7.597850797E-11 	7.493059747E-11 	1.73598000E+02  	4.38141600E+03  	3.00579200E+03  	1.21706000E+03  
1     	0      	1      	15    	3      	12     	8         	4         	1.226427807E-11 	1.223833650E-11 	2.37990000E+01  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
1     	1      	0      	15    	3      	12     	8         	4         	9.759150969E-12 	9.730953189E-12 	4.24020000E+01  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
2     	1      	2      	15    	3      	12     	8         	4         	2.850098404E-11 	2.837464412E-11 	7.95130000E+01  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
2     	2      	1      	15    	3      	12     	8         	4         	3.042025497E-11 	3.021486684E-11 	1.35322000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
3     	0      	3      	15    	3      	12     	8         	4         	1.214600065E-10 	1.206320377E-10 	1.36890000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
3     	1      	2      	15    	3      	12     	8         	4         	2.422128955E-10 	2.401927202E-10 	1.73598000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
3     	2      	1      	15    	3      	12     	8         	4         	1.979690521E-10 	1.959974214E-10 	2.12628000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
4     	1      	4      	15    	3      	12     	8         	4         	3.194747191E-10 	3.161292122E-10 	2.24994000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
3     	3      	0      	15    	3      	12     	8         	4         	4.841476449E-11 	4.778234766E-11 	2.87537000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
4     	2      	3      	15    	3      	12     	8         	4         	7.879839326E-10 	7.772544503E-10 	3.00920000E+02  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
1     	0      	1      	14    	6      	9      	8         	4         	6.429001210E-11 	6.419495698E-11 	2.37990000E+01  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
1     	1      	0      	14    	6      	9      	8         	4         	1.156266704E-10 	1.153661707E-10 	4.24020000E+01  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
2     	1      	2      	14    	6      	9      	8         	4         	1.642558058E-10 	1.636321447E-10 	7.95130000E+01  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
2     	2      	1      	14    	6      	9      	8         	4         	1.614215989E-10 	1.604342647E-10 	1.35322000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
3     	0      	3      	14    	6      	9      	8         	4         	4.579383239E-10 	4.551075206E-10 	1.36890000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
3     	1      	2      	14    	6      	9      	8         	4         	1.955398302E-09 	1.940330382E-09 	1.73598000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
3     	2      	1      	14    	6      	9      	8         	4         	1.165368681E-09 	1.154501482E-09 	2.12628000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
4     	1      	4      	14    	6      	9      	8         	4         	7.191083609E-10 	7.120338501E-10 	2.24994000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
3     	3      	0      	14    	6      	9      	8         	4         	3.443392380E-10 	3.400593413E-10 	2.87537000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
4     	2      	3      	14    	6      	9      	8         	4         	4.774776082E-09 	4.712783380E-09 	3.00920000E+02  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
1     	0      	1      	12    	9      	4      	8         	4         	1.800043711E-10 	1.798760433E-10 	2.37990000E+01  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
1     	1      	0      	12    	9      	4      	8         	4         	1.390666476E-10 	1.388597702E-10 	4.24020000E+01  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
2     	1      	2      	12    	9      	4      	8         	4         	6.592966628E-10 	6.572975723E-10 	7.95130000E+01  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
2     	2      	1      	12    	9      	4      	8         	4         	1.385194920E-09 	1.377780455E-09 	1.35322000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
3     	0      	3      	12    	9      	4      	8         	4         	5.411753242E-10 	5.382433399E-10 	1.36890000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
3     	1      	2      	12    	9      	4      	8         	4         	1.242527912E-09 	1.233901569E-09 	1.73598000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
3     	2      	1      	12    	9      	4      	8         	4         	5.143952452E-09 	5.099907314E-09 	2.12628000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
4     	1      	4      	12    	9      	4      	8         	4         	4.309544800E-10 	4.270433606E-10 	2.24994000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
3     	3      	0      	12    	9      	4      	8         	4         	4.932757636E-09 	4.875202763E-09 	2.87537000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
4     	2      	3      	12    	9      	4      	8         	4         	4.029570530E-09 	3.980320416E-09 	3.00920000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
5     	0      	5      	12    	9      	4      	8         	4         	6.712801605E-10 	6.623845151E-10 	3.25789000E+02  	4.38141600E+03  	3.17104200E+03  	1.21706000E+03  
1     	0      	1      	11    	1      	10     	8         	6         	8.824709279E-09 	8.709231413E-09 	2.37990000E+01  	4.38141600E+03  	1.53429700E+03  	2.55582600E+03  
1     	1      	0      	11    	1      	10     	8         	6         	7.020978495E-09 	6.923698426E-09 	4.24020000E+01  	4.38141600E+03  	1.53429700E+03  	2.55582600E+03  
1     	0      	1      	12    	1      	12     	8         	6         	2.240642599E-08 	2.214144493E-08 	2.37990000E+01  	4.38141600E+03  	1.56471800E+03  	2.55582600E+03  
1     	1      	0      	12    	1      	12     	8         	6         	8.739930014E-09 	8.629837513E-09 	4.24020000E+01  	4.38141600E+03  	1.56471800E+03  	2.55582600E+03  
1     	0      	1      	10    	4      	7      	8         	6         	6.655177857E-08 	6.585635292E-08 	2.37990000E+01  	4.38141600E+03  	1.59794500E+03  	2.55582600E+03  
1     	1      	0      	10    	4      	7      	8         	6         	6.970544645E-08 	6.892332997E-08 	4.24020000E+01  	4.38141600E+03  	1.59794500E+03  	2.55582600E+03  
