j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	14    	3      	12     	8         	4         	1.780571647E-10 	1.735962022E-10 	2.37990000E+01  	4.38141600E+03  	2.58305600E+03  	1.21706000E+03  
1     	1      	0      	14    	3      	12     	8         	4         	1.699110687E-10 	1.655241782E-10 	4.24020000E+01  	4.38141600E+03  	2.58305600E+03  	1.21706000E+03  
2     	1      	2      	14    	3      	12     	8         	4         	6.025175413E-10 	5.860420929E-10 	7.95130000E+01  	4.38141600E+03  	2.58305600E+03  	1.21706000E+03  
1     	0      	1      	13    	4      	9      	8         	4         	2.514774518E-10 	2.452129845E-10 	2.37990000E+01  	4.38141600E+03  	2.58652900E+03  	1.21706000E+03  
1     	1      	0      	13    	4      	9      	8         	4         	2.039316531E-10 	1.986955221E-10 	4.24020000E+01  	4.38141600E+03  	2.58652900E+03  	1.21706000E+03  
2     	1      	2      	13    	4      	9      	8         	4         	4.657487340E-10 	4.530796115E-10 	7.95130000E+01  	4.38141600E+03  	2.58652900E+03  	1.21706000E+03  
1     	0      	1      	10    	9      	2      	8         	4         	4.652225343E-10 	4.540899813E-10 	2.37990000E+01  	4.38141600E+03  	2.61036900E+03  	1.21706000E+03  
1     	1      	0      	10    	9      	2      	8         	4         	6.038555602E-10 	5.889432465E-10 	4.24020000E+01  	4.38141600E+03  	2.61036900E+03  	1.21706000E+03  
2     	1      	2      	10    	9      	2      	8         	4         	8.632330495E-10 	8.405976560E-10 	7.95130000E+01  	4.38141600E+03  	2.61036900E+03  	1.21706000E+03  
1     	0      	1      	11    	8      	3      	8         	4         	3.847446526E-09 	3.755708408E-09 	2.37990000E+01  	4.38141600E+03  	2.61244900E+03  	1.21706000E+03  
1     	1      	0      	11    	8      	3      	8         	4         	2.501121387E-09 	2.439569853E-09 	4.24020000E+01  	4.38141600E+03  	2.61244900E+03  	1.21706000E+03  
2     	1      	2      	11    	8      	3      	8         	4         	9.207165283E-09 	8.966525673E-09 	7.95130000E+01  	4.38141600E+03  	2.61244900E+03  	1.21706000E+03  
1     	0      	1      	15    	1      	14     	8         	4         	2.840811241E-11 	2.778088576E-11 	2.37990000E+01  	4.38141600E+03  	2.65529800E+03  	1.21706000E+03  
1     	1      	0      	15    	1      	14     	8         	4         	2.133149097E-11 	2.084416221E-11 	4.24020000E+01  	4.38141600E+03  	2.65529800E+03  	1.21706000E+03  
2     	1      	2      	15    	1      	14     	8         	4         	8.016475473E-11 	7.821086409E-11 	7.95130000E+01  	4.38141600E+03  	2.65529800E+03  	1.21706000E+03  
2     	2      	1      	15    	1      	14     	8         	4         	4.868430820E-11 	4.738594895E-11 	1.35322000E+02  	4.38141600E+03  	2.65529800E+03  	1.21706000E+03  
3     	0      	3      	15    	1      	14     	8         	4         	1.377810528E-10 	1.340976965E-10 	1.36890000E+02  	4.38141600E+03  	2.65529800E+03  	1.21706000E+03  
1     	0      	1      	12    	7      	6      	8         	4         	2.082840445E-09 	2.038626239E-09 	2.37990000E+01  	4.38141600E+03  	2.67595400E+03  	1.21706000E+03  
1     	1      	0      	12    	7      	6      	8         	4         	1.866532999E-09 	1.825479456E-09 	4.24020000E+01  	4.38141600E+03  	2.67595400E+03  	1.21706000E+03  
2     	1      	2      	12    	7      	6      	8         	4         	8.733343323E-09 	8.527907673E-09 	7.95130000E+01  	4.38141600E+03  	2.67595400E+03  	1.21706000E+03  
2     	2      	1      	12    	7      	6      	8         	4         	4.315658770E-09 	4.204229973E-09 	1.35322000E+02  	4.38141600E+03  	2.67595400E+03  	1.21706000E+03  
3     	0      	3      	12    	7      	6      	8         	4         	5.317281743E-09 	5.179648517E-09 	1.36890000E+02  	4.38141600E+03  	2.67595400E+03  	1.21706000E+03  
3     	1      	2      	12    	7      	6      	8         	4         	4.918077271E-09 	4.783355774E-09 	1.73598000E+02  	4.38141600E+03  	2.67595400E+03  	1.21706000E+03  
1     	0      	1      	16    	1      	16     	8         	4         	9.524130259E-11 	9.323725834E-11 	2.37990000E+01  	4.38141600E+03  	2.68046800E+03  	1.21706000E+03  
1     	1      	0      	16    	1      	16     	8         	4         	4.556801987E-11 	4.457424823E-11 	4.24020000E+01  	4.38141600E+03  	2.68046800E+03  	1.21706000E+03  
2     	1      	2      	16    	1      	16     	8         	4         	2.959872158E-10 	2.890796815E-10 	7.95130000E+01  	4.38141600E+03  	2.68046800E+03  	1.21706000E+03  
2     	2      	1      	16    	1      	16     	8         	4         	6.784101095E-11 	6.610197439E-11 	1.35322000E+02  	4.38141600E+03  	2.68046800E+03  	1.21706000E+03  
3     	0      	3      	16    	1      	16     	8         	4         	6.031451476E-10 	5.876452276E-10 	1.36890000E+02  	4.38141600E+03  	2.68046800E+03  	1.21706000E+03  
3     	1      	2      	16    	1      	16     	8         	4         	1.981543197E-10 	1.927630112E-10 	1.73598000E+02  	4.38141600E+03  	2.68046800E+03  	1.21706000E+03  
1     	0      	1      	13    	5      	8      	8         	4         	4.373224701E-10 	4.282103529E-10 	2.37990000E+01  	4.38141600E+03  	2.68545500E+03  	1.21706000E+03  
1     	1      	0      	13    	5      	8      	8         	4         	6.825400574E-10 	6.677951389E-10 	4.24020000E+01  	4.38141600E+03  	2.68545500E+03  	1.21706000E+03  
2     	1      	2      	13    	5      	8      	8         	4         	7.769575207E-10 	7.589850102E-10 	7.95130000E+01  	4.38141600E+03  	2.68545500E+03  	1.21706000E+03  
2     	2      	1      	13    	5      	8      	8         	4         	5.622928841E-10 	5.479944061E-10 	1.35322000E+02  	4.38141600E+03  	2.68545500E+03  	1.21706000E+03  
3     	0      	3      	13    	5      	8      	8         	4         	1.291655975E-09 	1.258727304E-09 	1.36890000E+02  	4.38141600E+03  	2.68545500E+03  	1.21706000E+03  
