j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	17    	3      	14     	8         	2         	3.317886154E-13 	3.645456178E-11 	2.37990000E+01  	4.38141600E+03  	3.89073000E+03  	3.65118000E+02  
1     	0      	1      	11    	2      	9      	8         	6         	1.134437420E-08 	5.652005281E-07 	2.37990000E+01  	4.38141600E+03  	1.70766300E+03  	2.55582600E+03  
1     	0      	1      	16    	6      	11     	8         	2         	3.807719951E-12 	4.286683053E-11 	2.37990000E+01  	4.38141600E+03  	3.92419000E+03  	3.65118000E+02  
1     	0      	1      	18    	4      	15     	8         	0         	7.068953174E-14 	6.424759022E-13 	2.37990000E+01  	4.38141600E+03  	4.29486600E+03  	0.00000000E+00  
1     	0      	1      	10    	5      	6      	8         	6         	1.180557056E-07 	9.925357326E-07 	2.37990000E+01  	4.38141600E+03  	1.74121600E+03  	2.55582600E+03  
1     	0      	1      	15    	8      	7      	8         	2         	4.924324235E-12 	2.734957204E-11 	2.37990000E+01  	4.38141600E+03  	3.94504200E+03  	3.65118000E+02  
1     	0      	1      	17    	5      	12     	8         	0         	3.516485567E-13 	1.824277153E-12 	2.37990000E+01  	4.38141600E+03  	4.31259100E+03  	0.00000000E+00  
1     	0      	1      	12    	2      	11     	8         	6         	1.807147555E-09 	4.682859423E-09 	2.37990000E+01  	4.38141600E+03  	1.78684400E+03  	2.55582600E+03  
1     	0      	1      	16    	8      	9      	8         	0         	1.730582843E-12 	4.460345818E-12 	2.37990000E+01  	4.38141600E+03  	4.34294700E+03  	0.00000000E+00  
1     	0      	1      	15    	3      	12     	8         	4         	3.472356680E-12 	7.243053104E-12 	2.37990000E+01  	4.38141600E+03  	3.13736300E+03  	1.21706000E+03  
1     	0      	1      	14    	6      	9      	8         	4         	2.419368071E-11 	3.925940825E-11 	2.37990000E+01  	4.38141600E+03  	3.15265700E+03  	1.21706000E+03  
