j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	1     	0      	1      	0         	0         	1.555197546E+02 	1.555197546E+02 	2.37990000E+01  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
1     	0      	1      	1     	1      	0      	0         	0         	2.560485161E+00 	2.560485161E+00 	2.37990000E+01  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
1     	0      	1      	2     	1      	2      	0         	0         	1.920194143E+00 	1.920194143E+00 	2.37990000E+01  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
1     	0      	1      	2     	2      	1      	0         	0         	4.549990946E-02 	4.549990946E-02 	2.37990000E+01  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
1     	0      	1      	3     	0      	3      	0         	0         	3.819322869E-01 	3.819322869E-01 	2.37990000E+01  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
1     	0      	1      	3     	1      	2      	0         	0         	1.674351965E-02 	1.674351965E-02 	2.37990000E+01  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
1     	1      	0      	1     	0      	1      	0         	0         	3.713655155E+00 	3.713655155E+00 	4.24020000E+01  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
1     	1      	0      	1     	1      	0      	0         	0         	1.575260029E+02 	1.575260029E+02 	4.24020000E+01  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
1     	1      	0      	2     	1      	2      	0         	0         	1.528239152E+00 	1.528239152E+00 	4.24020000E+01  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
1     	1      	0      	2     	2      	1      	0         	0         	1.216548865E+00 	1.216548865E+00 	4.24020000E+01  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
1     	1      	0      	3     	0      	3      	0         	0         	1.384618572E-01 	1.384618572E-01 	4.24020000E+01  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
1     	1      	0      	3     	1      	2      	0         	0         	1.269290127E-01 	1.269290127E-01 	4.24020000E+01  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
2     	1      	2      	1     	0      	1      	0         	0         	4.713493032E+00 	4.713493032E+00 	7.95130000E+01  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
2     	1      	2      	1     	1      	0      	0         	0         	2.295871961E+00 	2.295871961E+00 	7.95130000E+01  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
2     	1      	2      	2     	1      	2      	0         	0         	1.588877134E+02 	1.588877134E+02 	7.95130000E+01  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
2     	1      	2      	2     	2      	1      	0         	0         	3.883732267E-01 	3.883732267E-01 	7.95130000E+01  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
2     	1      	2      	3     	0      	3      	0         	0         	1.115894925E+00 	1.115894925E+00 	7.95130000E+01  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
2     	1      	2      	3     	1      	2      	0         	0         	4.983948818E-01 	4.983948818E-01 	7.95130000E+01  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
2     	1      	2      	3     	2      	1      	0         	0         	2.408734557E-01 	2.408734557E-01 	7.95130000E+01  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
2     	1      	2      	4     	1      	4      	0         	0         	1.025752252E-01 	1.025752252E-01 	7.95130000E+01  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
2     	2      	1      	1     	0      	1      	0         	0         	7.228210810E-01 	7.228210810E-01 	1.35322000E+02  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
2     	2      	1      	1     	1      	0      	0         	0         	9.261858943E+00 	9.261858943E+00 	1.35322000E+02  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
2     	2      	1      	2     	1      	2      	0         	0         	1.601875004E+00 	1.601875004E+00 	1.35322000E+02  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
2     	2      	1      	2     	2      	1      	0         	0         	1.564972642E+02 	1.564972642E+02 	1.35322000E+02  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
2     	2      	1      	3     	0      	3      	0         	0         	1.182099636E-01 	1.182099636E-01 	1.35322000E+02  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
2     	2      	1      	3     	1      	2      	0         	0         	1.030340748E+00 	1.030340748E+00 	1.35322000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
2     	2      	1      	3     	2      	1      	0         	0         	9.431260620E-01 	9.431260620E-01 	1.35322000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
2     	2      	1      	4     	1      	4      	0         	0         	4.021262239E-02 	4.021262239E-02 	1.35322000E+02  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
2     	2      	1      	3     	3      	0      	0         	0         	4.453138262E-01 	4.453138262E-01 	1.35322000E+02  	0.00000000E+00  	2.87537000E+02  	0.00000000E+00  
3     	0      	3      	1     	0      	1      	0         	0         	4.695789971E+00 	4.695789971E+00 	1.36890000E+02  	0.00000000E+00  	2.37990000E+01  	0.00000000E+00  
3     	0      	3      	1     	1      	0      	0         	0         	8.065550824E-01 	8.065550824E-01 	1.36890000E+02  	0.00000000E+00  	4.24020000E+01  	0.00000000E+00  
3     	0      	3      	2     	1      	2      	0         	0         	3.414861707E+00 	3.414861707E+00 	1.36890000E+02  	0.00000000E+00  	7.95130000E+01  	0.00000000E+00  
3     	0      	3      	2     	2      	1      	0         	0         	8.931857012E-02 	8.931857012E-02 	1.36890000E+02  	0.00000000E+00  	1.35322000E+02  	0.00000000E+00  
3     	0      	3      	3     	0      	3      	0         	0         	1.591266162E+02 	1.591266162E+02 	1.36890000E+02  	0.00000000E+00  	1.36890000E+02  	0.00000000E+00  
3     	0      	3      	3     	1      	2      	0         	0         	1.046161020E+00 	1.046161020E+00 	1.36890000E+02  	0.00000000E+00  	1.73598000E+02  	0.00000000E+00  
3     	0      	3      	3     	2      	1      	0         	0         	5.654384711E-02 	5.654384711E-02 	1.36890000E+02  	0.00000000E+00  	2.12628000E+02  	0.00000000E+00  
3     	0      	3      	4     	1      	4      	0         	0         	1.220582484E+00 	1.220582484E+00 	1.36890000E+02  	0.00000000E+00  	2.24994000E+02  	0.00000000E+00  
3     	0      	3      	3     	3      	0      	0         	0         	7.271488239E-03 	7.271488239E-03 	1.36890000E+02  	0.00000000E+00  	2.87537000E+02  	0.00000000E+00  
3     	0      	3      	4     	2      	3      	0         	0         	8.361793211E-03 	8.361793211E-03 	1.36890000E+02  	0.00000000E+00  	3.00920000E+02  	0.00000000E+00  
