! NUMBER OF COLLISIONAL TRANSITIONS
 2025
! NUMBER OF COLLISION TEMPERATURES
  27
! EFF. RATE COEFFS UNIT - (cm^3 s^-1)

 IS_H2O  FS_H2O   IS_H2        5.00           10.00           15.00           20.00           30.00           40.00           50.00           60.00           80.00           100.00          120.00          140.00          150.00          160.00          170.00          180.00          200.00          220.00          250.00          280.00          300.00          400.00          500.00          800.00         1000.00         1200.00         1500.00     
      4      1      2   2.3731203E-11   2.5102083E-11   2.6133683E-11   2.6835827E-11   2.7743615E-11   2.8356998E-11   2.8845630E-11   2.9271330E-11   3.0030660E-11   3.0726710E-11   3.1385280E-11   3.2013220E-11   3.2317890E-11   3.2615320E-11   3.2907500E-11   3.3193400E-11   3.3748250E-11   3.4280670E-11   3.5039700E-11   3.5753460E-11   3.6207280E-11   3.8241360E-11   3.9965000E-11   4.3992700E-11   4.6444890E-11   4.8483120E-11   5.1222200E-11
      4      1      3   3.2799000E-11   3.3672000E-11   3.4826000E-11   3.5683000E-11   3.6672000E-11   3.7140000E-11   3.7380000E-11   3.7522000E-11   3.7716000E-11   3.7908000E-11   3.8138000E-11   3.8405000E-11   3.8552000E-11   3.8705000E-11   3.8865000E-11   3.9030000E-11   3.9372000E-11   3.9726000E-11   4.0270000E-11   4.0821000E-11   4.1187000E-11   4.2962000E-11   4.4591000E-11   4.8625000E-11   5.1165440E-11   5.3232130E-11   5.6030580E-11
      4      2      1   3.1144000E-11   3.2356000E-11   3.2947000E-11   3.3086000E-11   3.3021020E-11   3.3000483E-11   3.3139362E-11   3.3430533E-11   3.4378200E-11   3.5689460E-11   3.7267270E-11   3.9047470E-11   3.9999470E-11   4.0987000E-11   4.2005700E-11   4.3053100E-11   4.5220200E-11   4.7469100E-11   5.0957800E-11   5.4546300E-11   5.6974600E-11   6.9263000E-11   8.1304000E-11   1.1318500E-10   1.3041600E-10   1.4475500E-10   1.6174900E-10
      4      2      2   5.8123630E-11   6.0312080E-11   6.2112130E-11   6.3522170E-11   6.5898650E-11   6.8155750E-11   7.0416930E-11   7.2675860E-11   7.7079410E-11   8.1209750E-11   8.5004590E-11   8.8456740E-11   9.0059240E-11   9.1582990E-11   9.3031960E-11   9.4410130E-11   9.6967960E-11   9.9285240E-11   1.0236651E-10   1.0504850E-10   1.0664429E-10   1.1293860E-10   1.1732100E-10   1.2542070E-10   1.2956422E-10   1.3290338E-10   1.3736880E-10
      4      2      3   6.0822000E-11   6.1441000E-11   6.3026000E-11   6.4581000E-11   6.7340000E-11   6.9855000E-11   7.2273000E-11   7.4635000E-11   7.9189000E-11   8.3467000E-11   8.7432000E-11   9.1080000E-11   9.2789000E-11   9.4423000E-11   9.5987000E-11   9.7483000E-11   1.0028000E-10   1.0285000E-10   1.0632000E-10   1.0938000E-10   1.1122000E-10   1.1863000E-10   1.2390000E-10   1.3318000E-10   1.3739559E-10   1.4041446E-10   1.4421240E-10
      4      3      1   2.1545000E-11   2.0285000E-11   1.9428000E-11   1.8828000E-11   1.8111002E-11   1.7778059E-11   1.7688548E-11   1.7773457E-11   1.8303763E-11   1.9157586E-11   2.0220210E-11   2.1422730E-11   2.2061800E-11   2.2720210E-11   2.3393920E-11   2.4080860E-11   2.5485800E-11   2.6918500E-11   2.9095900E-11   3.1284800E-11   3.2739600E-11   3.9847700E-11   4.6520300E-11   6.3487000E-11   7.2528000E-11   8.0116000E-11   8.9340000E-11
      4      3      2   8.2088140E-11   8.9835420E-11   9.5422780E-11   9.9164470E-11   1.0343987E-10   1.0548583E-10   1.0643338E-10   1.0680249E-10   1.0669521E-10   1.0610352E-10   1.0532689E-10   1.0450484E-10   1.0409538E-10   1.0369689E-10   1.0328932E-10   1.0290262E-10   1.0215165E-10   1.0143366E-10   1.0044557E-10   9.9538580E-11   9.8978700E-11   9.6643400E-11   9.4925700E-11   9.2141100E-11   9.1839370E-11   9.1931110E-11   9.2716600E-11
      4      3      3   9.6148000E-11   9.9715000E-11   1.0412000E-10   1.0740000E-10   1.1107000E-10   1.1250000E-10   1.1285000E-10   1.1267000E-10   1.1167000E-10   1.1043000E-10   1.0922000E-10   1.0810000E-10   1.0757000E-10   1.0708000E-10   1.0661000E-10   1.0616000E-10   1.0533000E-10   1.0458000E-10   1.0358000E-10   1.0270000E-10   1.0218000E-10   1.0012000E-10   9.8703000E-11   9.6488000E-11   9.6470630E-11   9.6524530E-11   9.7145300E-11
      5      1      1   6.7856000E-12   7.0142000E-12   7.2021000E-12   7.3510003E-12   7.5667868E-12   7.6902882E-12   7.7595115E-12   7.8104560E-12   7.9447400E-12   8.1862900E-12   8.5551700E-12   9.0448000E-12   9.3306000E-12   9.6412000E-12   9.9744000E-12   1.0328500E-11   1.1091500E-11   1.1917000E-11   1.3246200E-11   1.4655000E-11   1.5624700E-11   2.0621200E-11   2.5536700E-11   3.8196000E-11   4.4751000E-11   5.0043000E-11   5.6116000E-11
      5      1      2   2.3569748E-11   2.5895525E-11   2.7608330E-11   2.8819700E-11   3.0443400E-11   3.1551440E-11   3.2407850E-11   3.3118010E-11   3.4272970E-11   3.5203500E-11   3.5980450E-11   3.6642630E-11   3.6938380E-11   3.7213860E-11   3.7471070E-11   3.7711980E-11   3.8148810E-11   3.8534220E-11   3.9033290E-11   3.9454260E-11   3.9699380E-11   4.0626430E-11   4.1247200E-11   4.2450900E-11   4.3612420E-11   4.4547140E-11   4.6018900E-11
      5      1      3   3.1511000E-11   3.2885000E-11   3.4528000E-11   3.5807000E-11   3.7427000E-11   3.8309000E-11   3.8816000E-11   3.9124000E-11   3.9455000E-11   3.9626000E-11   3.9737000E-11   3.9825000E-11   3.9864000E-11   3.9901000E-11   3.9937000E-11   3.9971000E-11   4.0036000E-11   4.0096000E-11   4.0178000E-11   4.0250000E-11   4.0293000E-11   4.0453000E-11   4.0544000E-11   4.0654000E-11   4.1120890E-11   4.1370870E-11   4.1830960E-11
      5      2      1   7.0976000E-12   6.6207000E-12   6.2973000E-12   6.0628000E-12   5.7733077E-12   5.6383802E-12   5.5980188E-12   5.6189401E-12   5.7757760E-12   6.0275150E-12   6.3385900E-12   6.6905000E-12   6.8780400E-12   7.0717900E-12   7.2709700E-12   7.4747800E-12   7.8939000E-12   8.3246900E-12   8.9851000E-12   9.6545000E-12   1.0102100E-11   1.2304900E-11   1.4377700E-11   1.9604500E-11   2.2377000E-11   2.4731000E-11   2.7685000E-11
      5      2      2   2.2358296E-11   2.3959759E-11   2.4767993E-11   2.5094833E-11   2.5076113E-11   2.4719262E-11   2.4276899E-11   2.3833170E-11   2.3034630E-11   2.2379520E-11   2.1850650E-11   2.1426820E-11   2.1247130E-11   2.1086890E-11   2.0944090E-11   2.0816720E-11   2.0603200E-11   2.0436200E-11   2.0258820E-11   2.0150270E-11   2.0108300E-11   2.0149740E-11   2.0432180E-11   2.1673300E-11   2.2975430E-11   2.4035210E-11   2.5626000E-11
      5      2      3   2.6664000E-11   2.7949000E-11   2.8912000E-11   2.9343000E-11   2.9302000E-11   2.8790000E-11   2.8171000E-11   2.7561000E-11   2.6487000E-11   2.5617000E-11   2.4912000E-11   2.4333000E-11   2.4081000E-11   2.3851000E-11   2.3640000E-11   2.3446000E-11   2.3103000E-11   2.2810000E-11   2.2449000E-11   2.2162000E-11   2.2005000E-11   2.1512000E-11   2.1338000E-11   2.1659000E-11   2.2600120E-11   2.3331730E-11   2.4503060E-11
