j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
1     	0      	1      	5     	0      	5      	2         	0         	2.381697190E-02 	5.355076817E-01 	2.37990000E+01  	3.65118000E+02  	3.25789000E+02  	0.00000000E+00  
1     	0      	1      	4     	3      	2      	2         	0         	1.575279217E-01 	1.760853350E-01 	2.37990000E+01  	3.65118000E+02  	3.84585000E+02  	0.00000000E+00  
1     	0      	1      	1     	0      	1      	2         	2         	0.000000000E+00 	0.000000000E+00 	2.37990000E+01  	3.65118000E+02  	2.37990000E+01  	3.65118000E+02  
1     	0      	1      	5     	1      	4      	2         	0         	8.067817678E-03 	6.133409132E-03 	2.37990000E+01  	3.65118000E+02  	4.00670000E+02  	0.00000000E+00  
1     	0      	1      	1     	1      	0      	2         	2         	3.451094104E+01 	2.271732554E+01 	2.37990000E+01  	3.65118000E+02  	4.24020000E+01  	3.65118000E+02  
1     	0      	1      	2     	1      	2      	2         	2         	1.923444479E+01 	6.683622090E+00 	2.37990000E+01  	3.65118000E+02  	7.95130000E+01  	3.65118000E+02  
1     	0      	1      	6     	1      	6      	2         	0         	3.105892292E-02 	1.029115346E-02 	2.37990000E+01  	3.65118000E+02  	4.47897000E+02  	0.00000000E+00  
1     	0      	1      	5     	2      	3      	2         	0         	4.512652516E-02 	1.490913143E-02 	2.37990000E+01  	3.65118000E+02  	4.48098000E+02  	0.00000000E+00  
1     	1      	0      	4     	3      	2      	2         	0         	1.380319016E-01 	2.712889549E-01 	4.24020000E+01  	3.65118000E+02  	3.84585000E+02  	0.00000000E+00  
1     	1      	0      	1     	0      	1      	2         	2         	3.447974037E+01 	5.853944242E+01 	4.24020000E+01  	3.65118000E+02  	2.37990000E+01  	3.65118000E+02  
1     	1      	0      	5     	1      	4      	2         	0         	1.177152799E-02 	1.407963240E-02 	4.24020000E+01  	3.65118000E+02  	4.00670000E+02  	0.00000000E+00  
1     	1      	0      	1     	1      	0      	2         	2         	0.000000000E+00 	0.000000000E+00 	4.24020000E+01  	3.65118000E+02  	4.24020000E+01  	3.65118000E+02  
1     	1      	0      	2     	1      	2      	2         	2         	1.588732158E+01 	7.413725817E+00 	4.24020000E+01  	3.65118000E+02  	7.95130000E+01  	3.65118000E+02  
1     	1      	0      	6     	1      	6      	2         	0         	4.222887562E-02 	1.865110480E-02 	4.24020000E+01  	3.65118000E+02  	4.47897000E+02  	0.00000000E+00  
1     	1      	0      	5     	2      	3      	2         	0         	6.890574733E-02 	3.033186781E-02 	4.24020000E+01  	3.65118000E+02  	4.48098000E+02  	0.00000000E+00  
2     	1      	2      	4     	3      	2      	2         	0         	1.169427291E+00 	1.879842226E+01 	7.95130000E+01  	3.65118000E+02  	3.84585000E+02  	0.00000000E+00  
2     	1      	2      	1     	0      	1      	2         	2         	1.194663467E+01 	1.296297747E+02 	7.95130000E+01  	3.65118000E+02  	2.37990000E+01  	3.65118000E+02  
2     	1      	2      	5     	1      	4      	2         	0         	6.669353101E-02 	3.286463312E-01 	7.95130000E+01  	3.65118000E+02  	4.00670000E+02  	0.00000000E+00  
2     	1      	2      	1     	1      	0      	2         	2         	9.788239107E+00 	3.405566165E+01 	7.95130000E+01  	3.65118000E+02  	4.24020000E+01  	3.65118000E+02  
2     	1      	2      	2     	1      	2      	2         	2         	0.000000000E+00 	0.000000000E+00 	7.95130000E+01  	3.65118000E+02  	7.95130000E+01  	3.65118000E+02  
2     	1      	2      	6     	1      	6      	2         	0         	5.439662227E-02 	5.021318832E-02 	7.95130000E+01  	3.65118000E+02  	4.47897000E+02  	0.00000000E+00  
2     	1      	2      	5     	2      	3      	2         	0         	2.091685756E-01 	1.921519982E-01 	7.95130000E+01  	3.65118000E+02  	4.48098000E+02  	0.00000000E+00  
2     	1      	2      	4     	4      	1      	2         	0         	1.890319129E-01 	7.152394031E-02 	7.95130000E+01  	3.65118000E+02  	4.94688000E+02  	0.00000000E+00  
2     	1      	2      	2     	2      	1      	2         	2         	1.217160621E+01 	4.223497499E+00 	7.95130000E+01  	3.65118000E+02  	1.35322000E+02  	3.65118000E+02  
2     	1      	2      	3     	0      	3      	2         	2         	1.476298592E+01 	5.006446333E+00 	7.95130000E+01  	3.65118000E+02  	1.36890000E+02  	3.65118000E+02  
2     	1      	2      	5     	3      	2      	2         	0         	1.587477854E-01 	4.727203089E-02 	7.95130000E+01  	3.65118000E+02  	5.11234000E+02  	0.00000000E+00  
2     	2      	1      	2     	1      	2      	2         	2         	1.101778603E+01 	1.204920391E+02 	1.35322000E+02  	3.65118000E+02  	7.95130000E+01  	3.65118000E+02  
2     	2      	1      	6     	1      	6      	2         	0         	2.270776501E-02 	1.927723624E-01 	1.35322000E+02  	3.65118000E+02  	4.47897000E+02  	0.00000000E+00  
2     	2      	1      	5     	2      	3      	2         	0         	8.722445733E-02 	7.297325496E-01 	1.35322000E+02  	3.65118000E+02  	4.48098000E+02  	0.00000000E+00  
2     	2      	1      	4     	4      	1      	2         	0         	3.956120489E+00 	4.592867352E+00 	1.35322000E+02  	3.65118000E+02  	4.94688000E+02  	0.00000000E+00  
2     	2      	1      	2     	2      	1      	2         	2         	0.000000000E+00 	0.000000000E+00 	1.35322000E+02  	3.65118000E+02  	1.35322000E+02  	3.65118000E+02  
