j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O         	E_i_H2          	E_f_H2O         	E_f_H2          
0     	0      	0      	10    	5      	5      	8         	6         	5.732126047E-08 	6.058369230E-05 	0.00000000E+00  	4.38141600E+03  	1.74805100E+03  	2.55582600E+03  
0     	0      	0      	15    	8      	8      	8         	2         	2.282426176E-12 	2.234999487E-10 	0.00000000E+00  	4.38141600E+03  	3.94438200E+03  	3.65118000E+02  
0     	0      	0      	12    	1      	11     	8         	6         	7.721146661E-10 	2.912775210E-09 	0.00000000E+00  	4.38141600E+03  	1.78677900E+03  	2.55582600E+03  
0     	0      	0      	17    	6      	12     	8         	0         	7.243050218E-14 	2.533273765E-13 	0.00000000E+00  	4.38141600E+03  	4.34419300E+03  	0.00000000E+00  
0     	0      	0      	16    	8      	8      	8         	0         	1.515398517E-12 	5.159773060E-12 	0.00000000E+00  	4.38141600E+03  	4.34477100E+03  	0.00000000E+00  
0     	0      	0      	15    	4      	12     	8         	4         	9.017216927E-13 	1.917464654E-12 	0.00000000E+00  	4.38141600E+03  	3.13921700E+03  	1.21706000E+03  
0     	0      	0      	16    	6      	10     	8         	2         	7.751073695E-12 	1.590922141E-11 	0.00000000E+00  	4.38141600E+03  	3.99213800E+03  	3.65118000E+02  
0     	0      	0      	18    	2      	16     	8         	2         	8.893291962E-14 	1.162333041E-13 	0.00000000E+00  	4.38141600E+03  	4.00627500E+03  	3.65118000E+02  
0     	0      	0      	13    	1      	13     	8         	6         	2.907757012E-09 	3.772653723E-09 	0.00000000E+00  	4.38141600E+03  	1.81582400E+03  	2.55582600E+03  
0     	0      	0      	0     	0      	0      	8         	8         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00  	4.38141600E+03  	0.00000000E+00  	4.38141600E+03  
0     	0      	0      	12    	9      	3      	8         	4         	4.308897481E-11 	3.669804824E-11 	0.00000000E+00  	4.38141600E+03  	3.17104300E+03  	1.21706000E+03  
0     	0      	0      	14    	6      	8      	8         	4         	3.853562610E-11 	2.982750300E-11 	0.00000000E+00  	4.38141600E+03  	3.17528700E+03  	1.21706000E+03  
0     	0      	0      	11    	10     	2      	8         	4         	3.365112420E-11 	2.540089746E-11 	0.00000000E+00  	4.38141600E+03  	3.17643600E+03  	1.21706000E+03  
0     	0      	0      	19    	3      	17     	8         	0         	1.672719964E-14 	9.352050281E-15 	0.00000000E+00  	4.38141600E+03  	4.40840700E+03  	0.00000000E+00  
0     	0      	0      	1     	1      	1      	8         	8         	4.250395368E+01 	1.981813987E+01 	0.00000000E+00  	4.38141600E+03  	3.71580000E+01  	4.38141600E+03  
0     	0      	0      	9     	7      	3      	8         	6         	4.395663831E-08 	1.973828309E-08 	0.00000000E+00  	4.38141600E+03  	1.86497400E+03  	2.55582600E+03  
0     	0      	0      	11    	4      	8      	8         	6         	8.701349647E-09 	3.899501610E-09 	0.00000000E+00  	4.38141600E+03  	1.86509300E+03  	2.55582600E+03  
0     	0      	0      	8     	8      	0      	8         	6         	2.479803323E-08 	8.602785765E-09 	0.00000000E+00  	4.38141600E+03  	1.88141500E+03  	2.55582600E+03  
0     	0      	0      	19    	2      	18     	8         	2         	6.671297192E-15 	2.287951542E-15 	0.00000000E+00  	4.38141600E+03  	4.07290500E+03  	3.65118000E+02  
0     	0      	0      	13    	8      	6      	8         	4         	3.883689900E-11 	1.230370776E-11 	0.00000000E+00  	4.38141600E+03  	3.22648900E+03  	1.21706000E+03  
0     	0      	0      	2     	0      	2      	8         	8         	1.808416243E+01 	5.134838102E+00 	0.00000000E+00  	4.38141600E+03  	7.01330000E+01  	4.38141600E+03  
0     	0      	0      	14    	11     	3      	8         	0         	2.511571232E-13 	6.758676330E-14 	0.00000000E+00  	4.38141600E+03  	4.45563300E+03  	0.00000000E+00  
0     	0      	0      	20    	0      	20     	8         	2         	2.600593390E-14 	6.769947608E-15 	0.00000000E+00  	4.38141600E+03  	4.09309300E+03  	3.65118000E+02  
1     	1      	1      	12    	1      	11     	8         	6         	2.345244401E-09 	9.240521674E-07 	3.71580000E+01  	4.38141600E+03  	1.78677900E+03  	2.55582600E+03  
1     	1      	1      	17    	6      	12     	8         	0         	1.536882758E-13 	3.115766043E-11 	3.71580000E+01  	4.38141600E+03  	4.34419300E+03  	0.00000000E+00  
1     	1      	1      	16    	8      	8      	8         	0         	1.300118341E-12 	2.167026429E-10 	3.71580000E+01  	4.38141600E+03  	4.34477100E+03  	0.00000000E+00  
1     	1      	1      	15    	4      	12     	8         	4         	1.562601886E-12 	3.191233586E-11 	3.71580000E+01  	4.38141600E+03  	3.13921700E+03  	1.21706000E+03  
1     	1      	1      	16    	6      	10     	8         	2         	1.213016985E-11 	2.224382568E-10 	3.71580000E+01  	4.38141600E+03  	3.99213800E+03  	3.65118000E+02  
1     	1      	1      	18    	2      	16     	8         	2         	1.948986370E-13 	1.158095297E-12 	3.71580000E+01  	4.38141600E+03  	4.00627500E+03  	3.65118000E+02  
1     	1      	1      	13    	1      	13     	8         	6         	3.673438556E-09 	2.149034735E-08 	3.71580000E+01  	4.38141600E+03  	1.81582400E+03  	2.55582600E+03  
1     	1      	1      	0     	0      	0      	8         	8         	1.369349184E+01 	4.774870097E+01 	3.71580000E+01  	4.38141600E+03  	0.00000000E+00  	4.38141600E+03  
1     	1      	1      	12    	9      	3      	8         	4         	1.554513319E-10 	4.055735474E-10 	3.71580000E+01  	4.38141600E+03  	3.17104300E+03  	1.21706000E+03  
1     	1      	1      	14    	6      	8      	8         	4         	4.955020411E-11 	1.096730067E-10 	3.71580000E+01  	4.38141600E+03  	3.17528700E+03  	1.21706000E+03  
1     	1      	1      	11    	10     	2      	8         	4         	6.574379918E-11 	1.394914800E-10 	3.71580000E+01  	4.38141600E+03  	3.17643600E+03  	1.21706000E+03  
1     	1      	1      	19    	3      	17     	8         	0         	4.727749908E-14 	6.204608725E-14 	3.71580000E+01  	4.38141600E+03  	4.40840700E+03  	0.00000000E+00  
1     	1      	1      	1     	1      	1      	8         	8         	0.000000000E+00 	0.000000000E+00 	3.71580000E+01  	4.38141600E+03  	3.71580000E+01  	4.38141600E+03  
1     	1      	1      	9     	7      	3      	8         	6         	7.043694607E-08 	6.667478783E-08 	3.71580000E+01  	4.38141600E+03  	1.86497400E+03  	2.55582600E+03  
1     	1      	1      	11    	4      	8      	8         	6         	2.153315841E-08 	2.032436574E-08 	3.71580000E+01  	4.38141600E+03  	1.86509300E+03  	2.55582600E+03  
1     	1      	1      	8     	8      	0      	8         	6         	2.971642860E-08 	1.953608618E-08 	3.71580000E+01  	4.38141600E+03  	1.88141500E+03  	2.55582600E+03  
