! THERMAL RATE COEFFICIENTS (cm^3 s^-1)

Temperature (K):           10.0           15.0           20.0           25.0           30.0           40.0           50.0           60.0           70.0           80.0          100.0          150.0          200.0          300.0          400.0          500.0          800.0         1000.0         1200.0         1500.0         2000.0

J1  KA1 KC1 J1p KA1p KC1p
  3   1   3   2    2   0   2.918322E-13   4.734712E-13   8.396731E-13   1.102158E-12   1.533947E-12   3.045236E-12   5.550527E-12   9.140104E-12   2.658048E-12   4.624114E-12   5.452313E-12   6.688335E-13   9.373726E-13   1.571950E-12   2.470650E-11   2.741750E-11   1.736654E-11   2.780955E-11   3.090068E-11   2.966164E-11   3.378779E-11
  3   2   2   0    0   0   1.510249E-12   1.897532E-12   1.335698E-12   2.694080E-12   5.060564E-12   5.045929E-12   8.921922E-12   2.125209E-11   7.643065E-12   4.423565E-12   2.560801E-12   1.248104E-10   1.653481E-10   1.405221E-10   7.187986E-12   5.950332E-12   1.313200E-11   3.350344E-12   1.978841E-11   4.070366E-12   1.580974E-11
  3   2   2   1    1   1   1.135448E-12   8.876508E-13   6.866316E-13   5.858089E-13   4.081816E-13   8.147515E-13   1.592139E-12   4.090061E-12   1.451846E-12   6.491983E-12   3.132933E-12   1.182335E-12   1.752323E-12   3.281347E-12   1.290286E-11   1.347510E-11   1.189269E-11   1.339217E-11   9.626854E-12   1.797208E-11   1.558025E-11
  3   2   2   2    0   2   9.013694E-13   1.683164E-12   1.425470E-12   9.772315E-13   1.624396E-12   1.876794E-12   3.803449E-12   4.987957E-12   2.237246E-12   5.366506E-12   4.181059E-12   3.773538E-13   8.170766E-13   2.019602E-12   4.031673E-11   4.346765E-11   5.295366E-11   5.635356E-11   8.702044E-11   5.828232E-11   1.115728E-10
  3   2   2   2    1   1   1.697009E-11   1.345031E-11   2.556813E-11   2.383057E-11   2.672321E-11   3.208688E-11   6.575753E-11   5.296155E-11   6.030087E-11   8.843922E-11   3.514000E-11   3.342329E-11   5.005455E-11   8.134201E-11   8.034594E-11   1.362784E-10   9.209163E-11   8.131847E-11   3.343551E-10   1.212899E-10   2.098857E-10
  3   2   2   2    2   0   8.850909E-12   1.459716E-11   2.203004E-11   3.912511E-11   2.949932E-11   2.935537E-11   4.474860E-11   6.298662E-11   4.952643E-11   4.019976E-11   2.733951E-11   2.240883E-12   4.535734E-12   1.165874E-11   2.574667E-11   7.231871E-11   3.165547E-11   5.865093E-11   2.875081E-11   5.945307E-11   4.589084E-11
  3   2   2   3    1   3   2.077067E-12   3.169442E-12   3.934404E-12   4.618016E-12   5.549378E-12   7.842814E-12   1.328248E-11   1.142929E-11   1.266453E-11   2.131546E-11   2.181206E-11   3.827695E-11   7.963853E-11   1.582007E-10   6.371484E-11   9.515132E-11   2.390973E-10   9.999382E-11   7.677873E-11   9.379894E-11   1.437471E-10
  3   3   1   0    0   0   4.836553E-14   6.199966E-14   7.458434E-14   1.352958E-13   2.362748E-13   4.294747E-13   6.810804E-13   1.448825E-12   5.192910E-13   9.674097E-14   9.248815E-14   1.862810E-13   4.298923E-13   1.221815E-12   1.124280E-12   1.977693E-12   8.279893E-12   2.696579E-12   1.795080E-11   4.573518E-12   1.530078E-11
  3   3   1   1    1   1   1.493346E-13   2.617022E-13   4.715791E-13   7.050583E-13   1.442544E-12   2.162551E-12   4.104865E-12   3.400592E-12   3.767359E-12   1.088665E-12   9.395615E-13   5.293360E-13   8.176722E-13   2.036312E-12   5.402217E-12   1.052550E-11   2.369812E-11   1.645488E-11   1.503306E-11   2.172675E-11   7.551123E-12
  3   3   1   2    0   2   9.171369E-15   1.832078E-14   2.882603E-14   4.939504E-14   5.347681E-14   7.759209E-14   9.310919E-14   4.176989E-13   5.257654E-14   3.762673E-13   2.662547E-13   9.577324E-13   1.601741E-12   3.515612E-12   1.529693E-12   4.430343E-12   3.904070E-11   6.337620E-12   2.078160E-11   1.104846E-11   1.814158E-11
  3   3   1   2    1   1   2.352709E-12   2.518756E-12   2.346222E-12   2.465212E-12   2.805678E-12   3.691119E-12   4.131017E-12   5.008684E-12   1.775758E-12   1.757821E-12   1.646706E-12   4.132396E-12   5.900724E-12   7.921816E-12   1.355491E-11   1.531327E-11   1.693734E-11   2.382701E-11   2.178652E-11   3.074335E-11   1.679125E-11
  3   3   1   2    2   0   1.935592E-13   2.937728E-13   5.358844E-13   5.227895E-13   3.647758E-13   5.489419E-13   9.697259E-13   1.811866E-12   2.069447E-13   8.253880E-11   4.369121E-11   2.727160E-13   6.844087E-13   1.906287E-12   1.092077E-10   1.263084E-10   2.138428E-11   1.397188E-10   2.833426E-11   1.598692E-10   2.296420E-11
  3   3   1   3    1   3   1.520271E-11   1.671418E-11   3.151665E-11   5.574978E-11   9.409618E-11   1.313478E-10   1.891030E-10   5.538947E-10   7.552445E-11   1.011749E-12   9.394843E-13   2.687163E-12   5.253354E-12   1.545817E-11   4.132475E-12   8.963380E-12   1.806102E-10   1.170515E-11   4.357601E-10   1.584584E-11   2.350411E-10
  3   3   1   3    2   2   1.041159E-12   1.077279E-12   9.005178E-13   1.794109E-12   2.483798E-12   3.131956E-12   6.030459E-12   3.679022E-12   1.060288E-12   4.618121E-11   2.510920E-11   2.391297E-13   6.063323E-13   1.138502E-12   4.611691E-11   1.057234E-10   1.686572E-11   8.944037E-11   1.394546E-11   8.600398E-11   1.048150E-11
