j_i   	ka_i   	kc_i   	j_f   	ka_f   	kc_f   	H2_i(j)   	H2_f(j)   	sigmaU(Ang^2)   	sigmaE(Ang^2)   	E_i_H2O       	E_i_H2        	E_f_H2O       	E_f_H2        
0     	0      	0      	3     	3      	1      	2         	0         	2.177120473E-01 	2.823212699E+02 	0.00000000E+00	3.65118000E+02	2.87340000E+02	0.00000000E+00
0     	0      	0      	4     	2      	2      	2         	0         	5.392789784E-02 	3.486973795E-01 	0.00000000E+00	3.65118000E+02	3.16579000E+02	0.00000000E+00
0     	0      	0      	5     	1      	5      	2         	0         	4.063753973E-02 	1.484737217E-01 	0.00000000E+00	3.65118000E+02	3.26971000E+02	0.00000000E+00
0     	0      	0      	0     	0      	0      	2         	2         	0.000000000E+00 	0.000000000E+00 	0.00000000E+00	3.65118000E+02	0.00000000E+00	3.65118000E+02
0     	0      	0      	4     	3      	1      	2         	0         	5.527453957E-02 	3.481530700E-02 	0.00000000E+00	3.65118000E+02	3.85920000E+02	0.00000000E+00
0     	0      	0      	1     	1      	1      	2         	2         	3.438423890E+01 	1.603219458E+01 	0.00000000E+00	3.65118000E+02	3.71580000E+01	3.65118000E+02
0     	0      	0      	5     	2      	4      	2         	0         	1.923921873E-02 	7.066632539E-03 	0.00000000E+00	3.65118000E+02	4.17119000E+02	0.00000000E+00
0     	0      	0      	2     	0      	2      	2         	2         	1.595669251E+01 	4.530761819E+00 	0.00000000E+00	3.65118000E+02	7.01330000E+01	3.65118000E+02
1     	1      	1      	5     	1      	5      	2         	0         	2.754365889E-02 	7.997461969E+00 	3.71580000E+01	3.65118000E+02	3.26971000E+02	0.00000000E+00
1     	1      	1      	0     	0      	0      	2         	2         	1.144989652E+01 	3.992536684E+01 	3.71580000E+01	3.65118000E+02	0.00000000E+00	3.65118000E+02
1     	1      	1      	4     	3      	1      	2         	0         	1.678955762E-01 	2.652860100E-01 	3.71580000E+01	3.65118000E+02	3.85920000E+02	0.00000000E+00
1     	1      	1      	1     	1      	1      	2         	2         	0.000000000E+00 	0.000000000E+00 	3.71580000E+01	3.65118000E+02	3.71580000E+01	3.65118000E+02
