#N =          J1         KA         KC         J2          E
  202          9          2          7          5   3037.856
  203         12          5          8          3   3041.600
  204          7          6          1          5   3072.361
  205         10          8          3          3   3073.908
  206         14          2         13          3   3077.505
  207          8          5          4          5   3097.064
  208         14          5         10          1   3097.411
  209          9          9          0          3   3097.736
  210         16          2         15          1   3103.586
  211         15          0         15          3   3103.935
  212         11          7          4          3   3110.229
  213         13          7          6          1   3120.868
  214          9          3          6          5   3122.174
  215         10          2          9          5   3126.265
  216         17          0         17          1   3127.498
  217         11          0         11          5   3157.752
  218         13          3         10          3   3184.898
  219          9          4          5          5   3200.289
  220         12          6          7          3   3209.563
  221         15          3         12          1   3259.069
  222          8          6          3          5   3267.656
  223         14          6          9          1   3274.363
  224          7          7          0          5   3276.682
  225         10          3          8          5   3283.658
  226         12          9          4          1   3292.748
  227         11         10          1          1   3298.142
  228         14          3         12          3   3313.292
  229         13          4          9          3   3316.765
  230          9          5          4          5   3321.698
  231         10          9          2          3   3340.605
  232         11          8          3          3   3342.685
  233         13          8          5          1   3348.256
  234         11          1         10          5   3359.887
  235         16          3         14          1   3379.319
  236         15          1         14          3   3385.534
  237         12          1         12          5   3390.308
  238         12          7          6          3   3406.190
  239         16          1         16          3   3410.704
  240         13          5          8          3   3415.691
  241         10          4          7          5   3423.535
  242          1          0          1          7   3431.567
  243         15          4         11          1   3445.246
  244         17          1         16          1   3448.711
  245          1          1          0          7   3450.170
  246         14          7          8          1   3468.244
  247          8          7          2          5   3471.122
  248         18          1         18          1   3471.377
  249          2          1          2          7   3487.281
  250          9          6          3          5   3488.446
  251         14          4         11          3   3521.619
  252         11          2          9          5   3533.253
  253          2          2          1          7   3543.090
  254         13          6          7          3   3544.363
  255          3          0          3          7   3544.658
  256         10          5          6          5   3566.806
  257         15          5         10          1   3576.429
  258          3          1          2          7   3581.366
  259         12         10          3          1   3590.119
  260         11          9          2          3   3608.391
  261         13          9          4          1   3610.947
  262         12          2         11          5   3612.434
  263          3          2          1          7   3620.396
  264         16          4         13          1   3627.553
  265         11         11          0          1   3628.661
  266          4          1          4          7   3632.762
  267         12          8          5          3   3636.865
  268         10         10          1          3   3639.583
  269         15          2         13          3   3641.193
  270         13          0         13          5   3641.413
  271         11          3          8          5   3664.650
  272         15          6          9          1   3689.931
  273          9          7          2          5   3690.568
  274         14          8          7          1   3694.017
  275          3          3          0          7   3695.305
  276         14          5         10          3   3705.941
  277          8          8          1          5   3707.005
  278          4          2          3          7   3708.688
  279         16          2         15          3   3712.116
  280         13          7          6          3   3729.398
  281          5          0          5          7   3733.557
  282         10          6          5          5   3734.603
  283         17          0         17          3   3736.028
  284         17          2         15          1   3744.374
  285         11          4          7          5   3754.426
  286          4          3          2          7   3792.353
  287         12          3         10          5   3808.418
  288          5          1          4          7   3808.438
  289         18          2         17          1   3812.386
  290         19          0         19          1   3833.811
  291         16          5         12          1   3847.426
  292         15          7          8          1   3850.125
  293         11          5          6          5   3855.312
  294          6          1          6          7   3855.665
  295          5          2          3          7   3855.866
  296         15          3         12          3   3867.599
  297         14          6          9          3   3882.893
  298         13          1         12          5   3883.347
  299         12          9          4          3   3901.278
  300          4          4          1          7   3902.456
  301         11         10          1          3   3906.672
  302         13         10          3          1   3907.148
  303         14          1         14          5   3911.074
  304          5          3          2          7   3919.002
  305         12         11          2          1   3919.973
  306          9          8          1          5   3925.657
  307         10          7          4          5   3935.261
  308         14          9          6          1   3954.679
  309         13          8          5          3   3956.786
  310          6          2          5          7   3962.207
  311         12          4          9          5   3979.251
  312         16          3         14          3   3987.849
  313          7          0          7          7   3995.138
  314         11          6          5          5   4008.433
  315         17          3         14          1   4012.436
  316          5          4          1          7   4024.475
  317         16          6         11          1   4045.896
  318         15          4         11          3   4053.776
  319         17          1         16          3   4057.241
  320          6          3          4          7   4059.739
  321         15          8          7          1   4066.748
  322         14          7          8          3   4076.774
  323         18          1         18          3   4079.907
  324         13          2         11          5   4098.569
  325          7          1          6          7   4114.930
  326         18          3         16          1   4127.988
  327         12          5          8          5   4136.954
  328          8          1          8          7   4153.620
  329          5          5          0          7   4165.503
  330         10          8          3          5   4169.262
  331          6          4          3          7   4171.095
  332         14          2         13          5   4172.859
  333         15          5         10          3   4184.959
