#N =          J1         KA         KC         J2          E
  781         13          3         11          8   6655.031
  782         13         11          3          6   6670.271
  783         20          4         16          4   6674.863
  784         14         10          4          6   6683.527
  785         17          5         13          6   6686.369
  786         18          9          9          4   6686.818
  787         19          7         13          4   6690.867
  788         16          7          9          6   6693.563
  789          0          0          0         10   6693.830
  790         24          2         22          0   6697.086
  791         12         12          0          6   6716.151
  792         12          5          7          8   6723.707
  793         20         10         10          0   6724.350
  794         10          8          2          8   6725.089
  795         14          1         13          8   6728.676
  796         21          8         14          0   6729.635
  797          1          1          1         10   6730.988
  798         17         13          5          2   6743.100
  799         22          5         17          0   6745.935
  800          9          9          1          8   6748.916
  801         16         14          2          2   6752.265
  802         15          1         15          8   6755.115
  803         25          2         24          0   6755.838
  804         15          9          7          6   6758.327
  805         11          7          5          8   6761.316
  806          2          0          2         10   6763.963
  807         26          0         26          0   6768.684
  808          2          1          1         10   6789.075
  809         16         12          4          4   6789.148
  810         15         13          3          4   6790.873
  811         18         12          6          2   6794.155
  812         17         14          4          0   6800.883
  813         22          4         18          2   6801.051
  814         18         13          5          0   6817.823
  815         20          9         11          2   6818.197
  816         15         15          1          2   6820.121
  817          2          2          0         10   6830.418
  818         21          4         18          4   6834.216
  819          3          1          3         10   6836.161
  820         16         15          1          0   6843.220
  821         13          4         10          8   6844.099
  822         17         11          7          4   6847.981
  823         18          3         15          6   6850.539
  824         14         14          0          4   6851.409
  825         21          7         15          2   6853.729
  826         12          6          6          8   6865.281
  827         19         12          8          0   6895.854
  828         17          6         12          6   6900.019
  829          3          2          2         10   6900.550
  830         16          8          8          6   6900.597
  831         19         11          9          2   6907.954
  832         19          8         12          4   6914.958
  833          4          0          4         10   6916.140
  834         20          5         15          4   6940.267
  835         22          2         20          4   6943.052
  836         23          5         19          0   6952.569
  837         23          4         20          2   6956.302
  838         14          2         12          8   6964.205
  839         19          3         17          6   6964.233
  840          4          1          3         10   6969.929
  841         18         10          8          4   6970.466
  842         21          9         13          0   6975.551
  843          3          3          1         10   6981.170
  844         10          9          1          8   6991.785
  845         11          8          4          8   6993.862
  846         23          2         22          4   7004.376
  847          4          2          2         10   7010.409
  848         14         11          3          6   7011.459
  849         13          5          9          8   7013.702
  850         22          6         16          0   7016.343
  851         24          0         24          4   7019.660
  852          5          1          5         10   7020.801
  853         20          1         19          6   7029.506
  854         13         12          2          6   7031.688
  855         15          2         14          8   7036.718
  856         20         11          9          0   7038.049
  857         21          1         21          6   7048.463
  858         15         10          6          6   7051.214
  859         12          7          5          8   7057.709
  860         16          0         16          8   7061.884
  861         24          2         22          2   7062.204
  862          4          3          1         10   7079.750
  863         20         10         10          2   7089.468
  864         21          8         14          2   7094.753
  865         17          7         11          6   7104.206
  866         24          3         21          0   7105.969
  867         18          4         14          6   7108.086
  868          5          2          4         10   7110.949
  869         22          5         17          2   7111.053
  870         25          2         24          2   7120.956
  871         26          0         26          2   7133.802
  872          6          0          6         10   7141.243
  873         16          9          7          6   7154.057
  874         20          6         14          4   7154.385
